名詞-一般,3234
助詞-格助詞-一般,2240
動詞-自立,2006
助動詞,1647
名詞-サ変接続,1098
記号-一般,1036
助詞-接続助詞,1028
記号-読点,1025
助詞-係助詞,721
形容詞-自立,691
フィラー,592
助詞-終助詞,545
感動詞,533
名詞-接尾-助数詞,523
助詞-連体化,522
名詞-非自立-一般,451
接続詞,444
動詞-非自立,407
助詞-格助詞-連語,390
名詞-代名詞-一般,365
名詞-副詞可能,365
助詞-副助詞,288
名詞-接尾-一般,287
助詞-並立助詞,274
助詞-副助詞／並立助詞／終助詞,253
副詞-一般,250
副詞-助詞類接続,236
名詞-形容動詞語幹,233
連体詞,133
名詞-非自立-副詞可能,130
名詞-数,125
助詞-格助詞-引用,121
動詞-接尾,118
名詞-固有名詞-地域-国,98
名詞-固有名詞-地域-一般,75
助詞-副詞化,63
接頭詞-名詞接続,63
形容詞-非自立,57
名詞-接尾-副詞可能,52
名詞-接尾-形容動詞語幹,26
名詞-非自立-形容動詞語幹,23
名詞-固有名詞-人名-姓,19
名詞-固有名詞-一般,16
名詞-非自立-助動詞語幹,15
名詞-接尾-助動詞語幹,14
名詞-固有名詞-人名-名,13
名詞-特殊-助動詞語幹,13
名詞-ナイ形容詞語幹,13
接頭詞-数接続,12
名詞-接尾-特殊,10
名詞-接尾-サ変接続,8
記号-括弧閉,7
記号-括弧開,7
記号-空白,6
名詞-接尾-地域,5
名詞-接尾-人名,4
名詞-動詞非自立的,3
形容詞-接尾,2
記号-句点,1
助詞-特殊,1
接頭詞-動詞接続,1